size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 207.830579, 220.971458, 339.872607, 0.000000, 0.000000, 
4, 2.000, 720.962540, 661.286749, 1010.394536, 0.000000, 0.000000, 
8, 3.000, 964.109478, 1135.858108, 1803.516853, 0.000000, 0.000000, 
16, 4.000, 1491.546156, 1661.010540, 2078.323716, 1990.225854, 1685.348604, 
32, 5.000, 1241.486665, 1888.543388, 0.000000, 2281.346390, 2020.238087, 
64, 6.000, 1549.806673, 3564.129135, 0.000000, 2859.318669, 2513.659341, 
128, 7.000, 1642.866362, 3864.118896, 0.000000, 2942.567860, 2617.908751, 
256, 8.000, 1883.119912, 3933.523341, 0.000000, 3243.395813, 2946.108999, 
512, 9.000, 1565.779499, 4112.607318, 0.000000, 3105.733484, 2871.040416, 
1024, 10.000, 1690.621417, 3696.297524, 0.000000, 3274.487797, 3007.332130, 
2048, 11.000, 1651.921180, 3670.853812, 0.000000, 3078.248872, 2838.784985, 
4096, 12.000, 1677.609629, 2917.994723, 0.000000, 3110.246413, 2860.036259, 
8192, 13.000, 1407.969539, 2367.485940, 0.000000, 2966.855930, 2789.863657, 
16384, 14.000, 1442.578549, 2234.750507, 0.000000, 3057.429438, 2823.518947, 
32768, 15.000, 1475.390709, 2224.412839, 0.000000, 2765.753778, 2570.268875, 
65536, 16.000, 1129.580189, 1855.813734, 0.000000, 1516.010173, 1610.355079, 
131072, 17.000, 784.484632, 1389.643581, 0.000000, 1078.416417, 1269.482560, 
262144, 18.000, 777.247525, 1166.034547, 0.000000, 978.565103, 1322.779338, 
524288, 19.000, 772.329866, 646.932848, 0.000000, 790.276278, 1109.696939, 
1048576, 20.000, 762.994710, 624.037231, 0.000000, 715.485366, 1091.357202, 
2097152, 21.000, 663.022248, 582.675559, 0.000000, 692.602864, 1071.858293, 
