size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Intel MKL    , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.000000, 0.405000, 0.016000, 1.098000, 0.000000, 0.000000, 
4, 2.000, 0.001000, 0.026000, 0.022000, 0.010000, 0.000000, 0.000000, 
8, 3.000, 0.000000, 0.018000, 0.072000, 0.012000, 0.000000, 0.000000, 
16, 4.000, 0.001000, 0.026000, 0.031000, 0.006000, 0.000000, 0.000000, 
32, 5.000, 0.001000, 0.304000, 7.039000, 0.028000, 0.001000, 0.001000, 
64, 6.000, 0.001000, 0.446000, 22.350000, 0.017000, 0.002000, 0.001000, 
128, 7.000, 0.001000, 0.506000, 55.760000, 0.015000, 0.002000, 0.001000, 
256, 8.000, 0.002000, 0.962000, 123.976000, 0.021000, 0.002000, 0.002000, 
512, 9.000, 0.003000, 1.273000, 185.382000, 0.018000, 0.004000, 0.003000, 
1024, 10.000, 0.005000, 2.160000, 289.629000, 0.018000, 0.006000, 0.005000, 
2048, 11.000, 0.008000, 2.429000, 377.085000, 0.033000, 0.009000, 0.008000, 
4096, 12.000, 0.014000, 3.081000, 3.081000, 0.041000, 0.017000, 0.015000, 
8192, 13.000, 0.026000, 3.136000, 3.136000, 0.103000, 0.029000, 0.029000, 
16384, 14.000, 0.069000, 3.619000, 3.619000, 0.299000, 0.075000, 0.055000, 
32768, 15.000, 0.158000, 4.370000, 4.370000, 0.630000, 0.150000, 0.183000, 
65536, 16.000, 0.313000, 5.432000, 5.432000, 1.123000, 0.305000, 0.239000, 
131072, 17.000, 0.595000, 5.639000, 5.639000, 2.213000, 0.479000, 0.469000, 
262144, 18.000, 1.146000, 7.135000, 7.135000, 5.090000, 0.892000, 0.893000, 
524288, 19.000, 2.199000, 9.046000, 9.046000, 10.836000, 2.082000, 1.597000, 
1048576, 20.000, 4.474000, 15.924000, 15.924000, 18.010000, 3.739000, 3.953000, 
2097152, 21.000, 10.562000, 30.161000, 30.161000, 39.911000, 8.133000, 8.915000, 
