size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
160, 7.322, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
192, 7.585, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
384, 8.585, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
480, 8.907, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
640, 9.322, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
768, 9.585, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
800, 9.644, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
2400, 11.229, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
9216, 13.170, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
