size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.207437, 0.160721, 0.184546, 0.159875, 0.241031, 0.185326, 0.000000, 0.000000, 
4, 2.000, 0.178338, 0.151545, 0.150459, 0.153765, 0.152055, 0.156155, 0.000000, 0.000000, 
8, 3.000, 0.155977, 0.154980, 0.154057, 0.153109, 0.160701, 0.156224, 0.000000, 0.000000, 
16, 4.000, 0.157253, 0.152895, 0.152310, 0.150257, 0.152751, 0.157701, 0.000000, 0.000000, 
32, 5.000, 0.150058, 0.154914, 0.151720, 0.154223, 0.151413, 0.152236, 0.152538, 0.153192, 
64, 6.000, 0.153017, 0.151389, 0.150025, 0.156225, 0.159990, 0.150438, 0.151971, 0.151919, 
128, 7.000, 0.152955, 0.151827, 0.151557, 0.154502, 0.155152, 0.151339, 0.150456, 0.150533, 
256, 8.000, 0.153650, 0.151613, 0.151372, 0.152448, 0.154432, 0.152716, 0.150487, 0.150079, 
512, 9.000, 0.152450, 0.150395, 0.150041, 0.155053, 0.150182, 0.151672, 0.151184, 0.151277, 
1024, 10.000, 0.152064, 0.150498, 0.150866, 0.153311, 0.155039, 0.150505, 0.150979, 0.150686, 
2048, 11.000, 0.150545, 0.151166, 0.151039, 0.154740, 0.155155, 0.153046, 0.151028, 0.150592, 
4096, 12.000, 0.152104, 0.150864, 0.150864, 0.152993, 0.157012, 0.153117, 0.150880, 0.150172, 
8192, 13.000, 0.153599, 0.150527, 0.150527, 0.152039, 0.151971, 0.152690, 0.150526, 0.150672, 
16384, 14.000, 0.150818, 0.151056, 0.151056, 0.152935, 0.154842, 0.153099, 0.150309, 0.150725, 
32768, 15.000, 0.153960, 0.151133, 0.151133, 0.151376, 0.152923, 0.152878, 0.150005, 0.151175, 
65536, 16.000, 0.154170, 0.150593, 0.150593, 0.155385, 0.152774, 0.153240, 0.150224, 0.150276, 
131072, 17.000, 0.152653, 0.151382, 0.151382, 0.151704, 0.153019, 0.150741, 0.150614, 0.150694, 
262144, 18.000, 0.151874, 0.151423, 0.151423, 0.151810, 0.150482, 0.152306, 0.150056, 0.150348, 
524288, 19.000, 0.157081, 0.152027, 0.152027, 0.154959, 0.157135, 0.150697, 0.150868, 0.152147, 
1048576, 20.000, 0.166031, 0.158053, 0.158053, 0.156590, 0.193525, 0.151401, 0.151414, 0.155498, 
2097152, 21.000, 0.161852, 0.174484, 0.174484, 0.164904, 0.257942, 0.161179, 0.159361, 0.175873, 
